timestamp,open,high,low,close,volume
2021-04-14 20:00:00,540.0200,540.0200,539.6100,539.6100,226
2021-04-14 19:45:00,540.7000,540.7000,540.0300,540.0300,990
2021-04-14 19:00:00,540.7000,540.7000,540.7000,540.7000,135
2021-04-14 18:45:00,540.7000,542.0000,540.7000,542.0000,300
2021-04-14 18:30:00,541.3500,541.5000,541.3500,541.5000,335
2021-04-14 17:45:00,540.5000,540.5000,539.5000,539.5000,1071
2021-04-14 17:30:00,540.0200,540.0200,540.0200,540.0200,632
2021-04-14 17:00:00,541.3500,541.3500,540.4000,540.4000,1142
2021-04-14 16:45:00,540.8000,540.8000,540.8000,540.8000,34376
2021-04-14 16:15:00,540.0200,544.0100,540.0200,541.3900,129739
2021-04-14 16:00:00,540.1300,541.0399,538.5300,540.3000,380555
2021-04-14 15:45:00,541.7700,542.2000,539.7000,540.0500,90949
2021-04-14 15:30:00,540.8900,542.2350,540.8900,541.9200,67515
2021-04-14 15:15:00,541.5400,541.5400,539.9100,541.0153,86734
2021-04-14 15:00:00,543.5600,543.7499,541.2600,541.5200,50053
2021-04-14 14:45:00,541.9200,544.1150,541.8450,543.8100,68358
2021-04-14 14:30:00,541.6900,542.0450,541.1050,541.7350,61025
2021-04-14 14:15:00,542.4100,542.4200,540.8200,541.6000,89678
2021-04-14 14:00:00,545.0100,545.5120,542.1900,542.5150,66927
2021-04-14 13:45:00,545.4200,545.4200,544.2201,544.9550,83196
2021-04-14 13:30:00,545.3400,545.9000,544.6900,545.5750,82663
2021-04-14 13:15:00,545.1800,545.6200,544.3500,545.3800,79942
2021-04-14 13:00:00,543.8000,545.4700,543.1300,545.0500,68102
2021-04-14 12:45:00,542.3200,544.0000,542.2300,543.8000,76911
2021-04-14 12:30:00,541.5550,542.6900,541.1200,542.4550,98430
2021-04-14 12:15:00,543.7900,544.0600,541.5000,541.5000,75218
2021-04-14 12:00:00,543.0352,543.8100,541.8300,543.7400,78820
2021-04-14 11:45:00,540.2070,543.2390,539.8700,543.0000,123916
2021-04-14 11:30:00,541.4200,541.4999,539.3300,540.1000,160049
2021-04-14 11:15:00,542.4300,543.2500,540.9500,541.2600,155961
2021-04-14 11:00:00,542.2100,543.9900,542.0500,542.1900,142432
2021-04-14 10:45:00,543.9788,545.7399,541.9100,542.2100,168439
2021-04-14 10:30:00,545.4850,546.1200,543.6000,543.8700,216085
2021-04-14 10:15:00,549.0800,549.1100,545.1100,545.5300,187117
2021-04-14 10:00:00,549.0000,550.1100,548.2100,549.2150,201261
2021-04-14 09:45:00,554.8700,554.8700,548.2300,549.3668,311714
2021-04-14 09:30:00,555.2000,555.2000,554.7500,554.9000,1061
2021-04-14 09:15:00,555.7900,555.7900,555.7900,555.7900,118
2021-04-14 08:45:00,556.0000,556.0000,556.0000,556.0000,200
2021-04-14 08:30:00,554.3743,554.3743,554.3743,554.3743,162
2021-04-14 08:15:00,555.9000,556.5500,554.8100,556.5500,1024
2021-04-14 07:45:00,555.5000,556.2800,555.5000,556.2800,1402
2021-04-14 07:30:00,556.0000,556.0100,556.0000,556.0100,624
2021-04-14 07:15:00,555.0100,556.0000,555.0100,556.0000,1328
2021-04-13 19:45:00,553.3700,553.3700,553.0000,553.0000,1005
2021-04-13 19:15:00,553.4000,553.4000,553.4000,553.4000,147
2021-04-13 17:30:00,554.0000,554.0000,554.0000,554.0000,555
2021-04-13 17:15:00,553.3700,553.3700,553.3700,553.3700,269
2021-04-13 17:00:00,553.5000,553.5000,553.3700,553.3700,1877
2021-04-13 16:45:00,553.7500,553.7500,553.7500,553.7500,1206
2021-04-13 16:30:00,553.7936,553.9900,553.7300,553.9900,10747
2021-04-13 16:15:00,553.7300,553.9900,552.9250,553.7300,43088
2021-04-13 16:00:00,553.2300,554.2400,553.0600,553.7300,247685
2021-04-13 15:45:00,554.3300,554.4800,553.1800,553.3300,110741
2021-04-13 15:30:00,552.9600,554.8700,552.8500,554.2200,110758
2021-04-13 15:15:00,551.9500,552.9300,551.2100,552.9000,89771
2021-04-13 15:00:00,551.5000,551.9600,551.1301,551.8800,66474
2021-04-13 14:45:00,551.6000,552.0050,551.0000,551.3950,45111
2021-04-13 14:30:00,551.3000,552.2700,551.1700,551.5400,62680
2021-04-13 14:15:00,552.1300,552.1300,550.3000,551.2299,83953
2021-04-13 14:00:00,552.7400,553.4700,552.0000,552.1000,35733
2021-04-13 13:45:00,553.3300,553.3699,552.6600,552.8000,29503
2021-04-13 13:30:00,553.6700,553.9100,553.1200,553.5200,32956
2021-04-13 13:15:00,553.1600,553.8400,553.1200,553.6500,49143
2021-04-13 13:00:00,552.7100,553.3299,552.1600,553.0000,90479
2021-04-13 12:45:00,551.7500,552.7700,551.1450,552.7700,84448
2021-04-13 12:30:00,553.0600,553.1500,551.6500,551.8000,60536
2021-04-13 12:15:00,554.0799,554.6100,552.9400,553.0050,46152
2021-04-13 12:00:00,554.6187,554.9200,553.0950,553.9800,53691
2021-04-13 11:45:00,554.8150,555.0796,552.7200,554.6550,102961
2021-04-13 11:30:00,555.4250,555.4250,554.3800,554.8521,68359
2021-04-13 11:15:00,555.0277,555.6391,554.2550,555.3900,92448
2021-04-13 11:00:00,556.9600,557.1300,555.0900,555.0900,78944
2021-04-13 10:45:00,558.2100,558.8300,555.7500,557.1699,129054
2021-04-13 10:30:00,558.7000,559.7500,557.1700,558.0600,138887
2021-04-13 10:15:00,556.6000,558.5600,555.4200,558.3800,104856
2021-04-13 10:00:00,557.6100,558.0000,556.0760,556.6100,127002
2021-04-13 09:45:00,557.0000,559.4000,555.2500,557.2350,318197
2021-04-13 09:30:00,556.9800,557.9800,556.2500,557.5900,3335
2021-04-13 09:15:00,556.0000,556.0000,556.0000,556.0000,158
2021-04-13 09:00:00,556.1000,556.1000,556.0006,556.0006,1132
2021-04-13 08:45:00,554.8800,554.8800,554.8800,554.8800,279
2021-04-13 08:30:00,554.9700,554.9700,554.1600,554.1600,1028
2021-04-13 08:15:00,554.5000,554.5000,553.9999,554.5000,1788
2021-04-13 07:45:00,553.3000,554.5000,552.7000,553.0000,3153
2021-04-13 07:15:00,552.7800,552.7800,552.7800,552.7800,219
2021-04-13 04:45:00,550.2200,550.2200,550.2200,550.2200,396
2021-04-12 20:00:00,553.1000,554.0000,553.0001,553.0001,1447
2021-04-12 19:45:00,553.1500,553.1500,553.1500,553.1500,200
2021-04-12 19:15:00,553.1500,553.9800,553.1500,553.9800,480
2021-04-12 16:30:00,552.7800,553.4700,552.7800,553.4700,10634
2021-04-12 16:15:00,552.7800,554.2000,552.7800,552.7800,46264
2021-04-12 16:00:00,553.2600,553.8900,552.3100,552.7800,283726
2021-04-12 15:45:00,552.0300,553.3800,551.5400,553.2000,102636
2021-04-12 15:30:00,551.8500,553.4260,551.4500,552.0300,67417
2021-04-12 15:15:00,553.1600,553.5100,551.8000,551.8000,78258
2021-04-12 15:00:00,554.9300,554.9900,553.0800,553.2500,49606
2021-04-12 14:45:00,556.1200,556.3900,554.5500,555.0700,46203
2021-04-12 14:30:00,557.1100,557.1600,555.7162,556.1000,45002
2021-04-12 14:15:00,555.3800,557.3982,555.2700,557.1000,115929
