ticker,1day_lag_close,1day_lag_high,1day_lag_low,1day_lag_open,1day_lag_volume,2day_lag_close,2day_lag_high,2day_lag_low,2day_lag_open,2day_lag_volume,3day_lag_close,3day_lag_high,3day_lag_low,3day_lag_open,3day_lag_volume,4day_lag_close,4day_lag_high,4day_lag_low,4day_lag_open,4day_lag_volume,5day_lag_close,5day_lag_high,5day_lag_low,5day_lag_open,5day_lag_volume
ACCD,42.03,43.28,41.46,42.43,952230.0,42.98,43.9299,41.82,43.25,922281.0,43.59,46.46,43.07,46.0,3418915.0,45.37,47.5285,44.5,47.44,1051923.0,47.24,48.89,44.32,45.0,1148361.0
ACER,3.48,3.82,3.46,3.79,789955.0,3.9,4.4,3.705,4.14,7759933.0,3.46,3.62,3.35,3.38,438029.0,3.44,3.59,3.32,3.55,646140.0,3.53,3.78,3.48,3.52,652721.0
ACET,14.37,14.72,13.94,14.55,180558.0,14.71,14.99,14.22,14.88,157772.0,14.54,15.09,14.04,14.37,490037.0,14.55,15.17,14.33,14.83,185399.0,15.19,16.0,14.9,15.71,226681.0
ACEV,10.09,10.21,10.07,10.18,459839.0,10.21,10.32,10.16,10.3,488068.0,10.26,10.515,10.215,10.505,857100.0,10.47,10.53,10.43,10.5,385932.0,10.49,10.6,10.45,10.57,378109.0
ACEVU,11.07,11.505,11.0,11.505,3182.0,11.25,11.93,11.25,11.45,524.0,11.45,11.8104,11.44,11.81,1200.0,11.66,11.86,11.55,11.56,2200.0,11.47,11.9199,11.43,11.75,8005.0
ACEVW,2.28,2.3,2.0,2.3,462562.0,2.4,2.4,2.11,2.32,131328.0,2.19,2.2,2.08,2.08,73353.0,2.16,2.35,2.1,2.35,84586.0,2.45,2.49,2.01,2.49,257302.0
ACGL,36.77,36.93,36.43,36.43,1569858.0,36.63,36.9,36.21,36.502,1423398.0,36.91,37.6718,36.695,37.43,2757600.0,37.63,38.375,36.67,36.8601,1884130.0,37.6,38.05,37.235,37.93,1388293.0
ACGLO,26.29,26.29,26.115,26.24,7070.0,26.21,26.24,25.88,25.9337,18995.0,25.96,25.99,25.7701,25.77,5500.0,25.92,26.1,25.9,26.07,16608.0,26.14,26.14,25.91,25.91,26225.0
ACGLP,25.5,25.5,25.35,25.45,18450.0,25.45,25.52,25.3,25.3,24615.0,25.3,25.39,25.19,25.2,17800.0,25.19,25.5,25.19,25.5,18690.0,25.54,25.55,25.2104,25.24,108927.0
ACHC,55.02,57.05,54.7,56.5,528932.0,56.81,57.61,55.94,57.61,354979.0,57.2,58.85,57.07,57.99,790600.0,58.69,59.985,58.52,59.02,818124.0,59.24,60.0,58.34,58.79,605455.0
ACHV,12.2,12.58,11.8,12.58,106035.0,12.64,12.64,12.0812,12.33,85360.0,12.29,12.88,12.15,12.54,114300.0,12.72,12.95,12.01,12.08,201335.0,12.46,12.47,11.35,11.45,107256.0
