date,1. open,2. high,3. low,4. close,5. volume,RSI
2021-03-25 20:00:00,233.76,233.76,233.23,233.52,9716.0,47.8714
2021-03-25 19:45:00,232.79,234.0,232.79,233.43,19608.0,45.0997
2021-03-25 19:30:00,232.55,232.79,232.55,232.79,1725.0,44.3802
2021-03-25 19:15:00,232.64,232.64,232.55,232.55,1322.0,44.5957
2021-03-25 19:00:00,232.5,232.6,232.5,232.6,3163.0,44.1811
2021-03-25 18:45:00,232.5,232.54,232.45,232.54,1184.0,44.1811
2021-03-25 18:30:00,232.43,232.5,232.4,232.5,4832.0,43.9784
2021-03-25 18:15:00,232.54,232.56,232.4,232.55,7485.0,44.2266
2021-03-25 18:00:00,232.6,232.79,232.53,232.75,12440.0,44.3608
2021-03-25 17:45:00,232.55,232.55,232.55,232.55,1563.0,44.2221
2021-03-25 17:30:00,232.57,232.62,232.34,232.5,15357.0,44.2655
2021-03-25 17:15:00,232.62,232.63,232.6,232.62,3704.0,44.3726
2021-03-25 17:00:00,232.53,232.56,232.43,232.43,917.0,44.1333
2021-03-25 16:45:00,232.4,232.56,232.4,232.56,1428.0,43.7899
2021-03-25 16:30:00,232.55,232.63,232.41,232.41,102856.0,44.0975
2021-03-25 16:15:00,232.34,232.61,232.295,232.54,1013496.0,43.5517
2021-03-25 16:00:00,233.19,233.48,232.22,232.27,2906158.0,45.3125
2021-03-25 15:45:00,232.78,233.24,232.55,233.18,1024571.0,44.2433
2021-03-25 15:30:00,232.94,233.23,232.44,232.78,771265.0,44.5777
2021-03-25 15:15:00,232.93,233.61,232.9,232.94,918671.0,44.552
2021-03-25 15:00:00,232.28,233.12,232.23,232.935,910989.0,42.8542
2021-03-25 14:45:00,231.76,232.45,231.745,232.29,790636.0,41.4438
2021-03-25 14:30:00,231.81,232.095,231.61,231.75,718234.0,41.5408
2021-03-25 14:15:00,232.33,232.35,231.7,231.8,790149.0,42.5588
2021-03-25 14:00:00,232.55,232.81,232.1,232.3,767070.0,42.9972
2021-03-25 13:45:00,232.48,232.84,232.14,232.56,668522.0,42.8129
2021-03-25 13:30:00,233.02,233.12,232.2883,232.46,758410.0,43.8894
2021-03-25 13:15:00,232.15,233.04,231.57,233.0027,1199678.0,41.5615
2021-03-25 13:00:00,231.99,232.26,231.81,232.155,697398.0,41.1198
2021-03-25 12:45:00,232.63,232.71,231.82,232.0,838163.0,42.3799
2021-03-25 12:30:00,231.91,232.64,231.82,232.63,830930.0,40.358
2021-03-25 12:15:00,232.32,232.72,231.78,231.92,1003361.0,41.1669
2021-03-25 12:00:00,231.62,232.475,231.57,232.31,1185515.0,39.1183
2021-03-25 11:45:00,232.775,233.13,231.61,231.62,1197717.0,41.4606
2021-03-25 11:30:00,232.46,232.99,231.72,232.77,1390301.0,40.5053
2021-03-25 11:15:00,232.89,233.05,232.24,232.47,1225887.0,41.4125
2021-03-25 11:00:00,233.88,234.01,232.73,232.88,1331511.0,43.6246
2021-03-25 10:45:00,234.2619,234.33,233.61,233.9,1160548.0,44.5268
2021-03-25 10:30:00,235.37,235.88,234.26,234.27,1138357.0,47.319
2021-03-25 10:15:00,235.83,236.94,235.3285,235.3601,1264292.0,48.562
