date,1. open,2. high,3. low,4. close,5. volume
2021-03-30 20:00:00,231.85,231.9,231.78,231.89,6764.0
2021-03-30 19:45:00,231.86,231.88,231.69,231.69,6660.0
2021-03-30 19:30:00,231.85,231.88,231.85,231.88,1480.0
2021-03-30 19:15:00,231.81,231.81,231.81,231.81,251.0
2021-03-30 19:00:00,231.8,231.85,231.61,231.61,866.0
2021-03-30 18:45:00,231.88,231.88,231.79,231.79,2998.0
2021-03-30 18:30:00,231.88,231.88,231.67,231.87,1161.0
2021-03-30 18:15:00,231.88,231.8999,231.88,231.8999,816.0
2021-03-30 18:00:00,231.85,231.9,231.85,231.88,2741.0
2021-03-30 17:45:00,231.85,231.85,231.85,231.85,8685.0
2021-03-30 17:30:00,231.85,231.85,231.83,231.85,3836.0
2021-03-30 17:15:00,231.92,231.96,231.85,231.85,3815.0
2021-03-30 17:00:00,231.88,231.91,231.85,231.91,2630.0
2021-03-30 16:45:00,231.85,231.88,231.75,231.75,5623.0
2021-03-30 16:30:00,231.88,231.92,231.8,231.92,324262.0
2021-03-30 16:15:00,231.85,232.09,231.7,231.85,610967.0
2021-03-30 16:00:00,231.96,232.5,231.32,232.43,3056486.0
2021-03-30 15:45:00,232.03,232.37,231.85,231.93,716520.0
2021-03-30 15:30:00,232.16,232.24,231.865,232.02,573483.0
2021-03-30 15:15:00,232.2506,232.5,232.09,232.15,470730.0
2021-03-30 15:00:00,231.83,232.33,231.74,232.25,485066.0
2021-03-30 14:45:00,231.7556,232.145,231.7,231.82,440697.0
2021-03-30 14:30:00,231.91,232.14,231.59,231.77,456642.0
2021-03-30 14:15:00,231.9486,232.0561,231.73,231.93,365896.0
2021-03-30 14:00:00,232.04,232.25,231.95,231.95,336911.0
2021-03-30 13:45:00,232.41,232.45,232.03,232.04,380437.0
2021-03-30 13:30:00,231.89,232.406,231.87,232.4,362155.0
2021-03-30 13:15:00,231.84,231.95,231.58,231.89,464792.0
2021-03-30 13:00:00,231.66,232.11,231.65,231.83,427471.0
2021-03-30 12:45:00,231.83,232.05,231.6536,231.66,508583.0
2021-03-30 12:30:00,231.86,231.92,231.58,231.845,468279.0
2021-03-30 12:15:00,231.98,232.2,231.75,231.87,647177.0
2021-03-30 12:00:00,232.43,232.64,231.87,231.985,686307.0
2021-03-30 11:45:00,231.92,232.685,231.85,232.41,808706.0
2021-03-30 11:30:00,231.71,232.15,231.64,231.92,679706.0
2021-03-30 11:15:00,231.96,232.3,231.61,231.71,824694.0
2021-03-30 11:00:00,232.61,232.63,231.845,231.95,707638.0
2021-03-30 10:45:00,231.83,232.69,231.635,232.61,909258.0
2021-03-30 10:30:00,232.61,232.63,231.1,231.83,1393447.0
2021-03-30 10:15:00,232.23,232.9,232.04,232.62,1074350.0
2021-03-30 10:00:00,231.86,232.37,231.54,232.25,1406652.0
2021-03-30 09:45:00,233.525,233.85,231.66,231.8299,1816983.0
2021-03-30 09:30:00,233.67,234.25,233.31,233.5,24061.0
2021-03-30 09:15:00,233.4,233.72,233.31,233.5139,3766.0
2021-03-30 09:00:00,233.21,233.21,233.1,233.11,2167.0
2021-03-30 08:45:00,233.45,233.48,233.05,233.4,10666.0
2021-03-30 08:30:00,233.27,233.66,233.26,233.66,11573.0
2021-03-30 08:15:00,233.1,234.652,232.72,233.25,13104.0
2021-03-30 08:00:00,233.37,233.51,233.09,233.12,8372.0
2021-03-30 07:45:00,233.26,233.47,233.02,233.35,6903.0
2021-03-30 07:30:00,233.25,233.58,232.76,233.13,15765.0
2021-03-30 07:15:00,233.08,233.33,233.0,233.25,14801.0
2021-03-30 07:00:00,232.65,233.17,232.65,233.17,1973.0
2021-03-30 06:45:00,233.48,233.48,232.65,232.65,5963.0
2021-03-30 06:30:00,233.38,233.65,233.31,233.48,4546.0
2021-03-30 06:15:00,233.69,233.69,233.69,233.69,234.0
2021-03-30 05:45:00,233.8,233.8,233.8,233.8,200.0
2021-03-30 05:15:00,233.44,233.44,233.44,233.44,131.0
2021-03-30 04:45:00,233.51,233.51,233.51,233.51,200.0
2021-03-30 04:30:00,233.3,233.5,233.04,233.04,1906.0
2021-03-30 04:15:00,234.32,234.5,233.24,233.3,4138.0
2021-03-29 20:00:00,235.33,235.5,235.29,235.49,3466.0
2021-03-29 19:45:00,235.23,235.23,235.2,235.2,349.0
2021-03-29 19:30:00,235.25,235.3,235.21,235.21,1293.0
2021-03-29 19:15:00,235.29,235.29,235.15,235.22,2555.0
2021-03-29 18:45:00,235.58,235.58,235.58,235.58,300.0
2021-03-29 18:30:00,235.5,235.5,235.3,235.3,2800.0
2021-03-29 18:15:00,235.32,235.66,235.26,235.58,5760.0
2021-03-29 18:00:00,235.25,235.3113,235.2,235.3113,2230.0
2021-03-29 17:45:00,235.13,235.13,235.11,235.11,2817.0
2021-03-29 17:15:00,235.3017,235.3017,235.0563,235.0563,624.0
2021-03-29 17:00:00,235.11,235.3,235.11,235.3,1514.0
2021-03-29 16:45:00,235.6,235.6,235.04,235.04,158275.0
2021-03-29 16:30:00,235.5,235.76,235.24,235.76,410171.0
2021-03-29 16:15:00,235.24,235.95,235.03,235.66,2622505.0
2021-03-29 16:00:00,234.77,235.31,234.55,235.28,1533062.0
2021-03-29 15:45:00,234.74,235.23,234.68,234.77,598573.0
2021-03-29 15:30:00,234.56,234.92,234.48,234.73,490548.0
2021-03-29 15:15:00,234.47,234.93,234.3762,234.56,568147.0
2021-03-29 15:00:00,234.37,235.0,234.26,234.45,585304.0
2021-03-29 14:45:00,234.73,234.795,234.33,234.38,433679.0
2021-03-29 14:30:00,234.84,234.96,234.52,234.75,429628.0
2021-03-29 14:15:00,235.15,235.16,234.58,234.865,534004.0
2021-03-29 14:00:00,235.21,235.64,235.03,235.1155,479306.0
2021-03-29 13:45:00,235.15,235.59,235.05,235.23,509688.0
2021-03-29 13:30:00,235.19,235.4,235.04,235.17,544258.0
2021-03-29 13:15:00,234.95,235.32,234.82,235.18,647048.0
2021-03-29 13:00:00,234.18,234.96,234.15,234.9305,651590.0
2021-03-29 12:45:00,233.54,234.35,233.49,234.16,699504.0
2021-03-29 12:30:00,233.4,233.625,233.27,233.53,341532.0
2021-03-29 12:15:00,233.6,233.79,233.02,233.41,470068.0
2021-03-29 12:00:00,233.62,234.0,233.3,233.6,562981.0
2021-03-29 11:45:00,233.7,233.92,233.49,233.61,456052.0
2021-03-29 11:30:00,233.32,233.85,233.07,233.6901,572457.0
2021-03-29 11:15:00,233.58,233.66,232.95,233.33,713909.0
2021-03-29 11:00:00,233.585,233.975,233.29,233.56,655674.0
2021-03-29 10:45:00,232.06,233.61,231.98,233.59,865833.0
2021-03-29 10:30:00,232.62,232.93,232.07,232.07,1078781.0
