date,1. open,2. high,3. low,4. close,5. volume
2021-03-26 20:00:00,61.45,61.5,61.25,61.35,8543.0
2021-03-26 19:45:00,61.34,61.4,61.34,61.4,3069.0
2021-03-26 19:30:00,61.3001,61.3001,61.26,61.26,5698.0
2021-03-26 19:15:00,61.34,61.34,61.34,61.34,200.0
2021-03-26 19:00:00,61.26,61.26,61.26,61.26,784.0
2021-03-26 18:45:00,61.3,61.3,61.3,61.3,500.0
2021-03-26 18:30:00,61.47,61.47,61.47,61.47,135.0
2021-03-26 18:15:00,61.46,61.47,61.26,61.26,1100.0
2021-03-26 18:00:00,61.3,61.41,61.3,61.35,2535.0
2021-03-26 17:45:00,61.48,61.48,61.48,61.48,201.0
2021-03-26 17:15:00,61.3,61.3,61.3,61.3,1975.0
2021-03-26 17:00:00,61.4,61.4,61.26,61.35,10929.0
2021-03-26 16:45:00,61.4,61.46,61.26,61.46,894.0
2021-03-26 16:30:00,61.26,61.36,61.26,61.26,7789.0
2021-03-26 16:15:00,61.17,61.35,61.17,61.26,398634.0
2021-03-26 16:00:00,60.39,61.35,60.38,61.265,1998105.0
2021-03-26 15:45:00,60.44,60.55,60.305,60.39,705097.0
2021-03-26 15:30:00,59.89,60.5,59.86,60.44,493019.0
2021-03-26 15:15:00,60.04,60.06,59.63,59.9,565075.0
2021-03-26 15:00:00,59.7,60.05,59.28,60.04,630411.0
2021-03-26 14:45:00,60.01,60.0999,59.65,59.72,583345.0
2021-03-26 14:30:00,59.65,60.07,59.5,60.0098,613695.0
2021-03-26 14:15:00,60.08,60.12,59.57,59.66,687078.0
2021-03-26 14:00:00,60.23,60.33,60.05,60.08,512224.0
2021-03-26 13:45:00,60.675,60.78,60.22,60.23,272879.0
2021-03-26 13:30:00,60.67,60.84,60.5,60.67,632293.0
2021-03-26 13:15:00,60.2,60.71,60.19,60.68,315720.0
2021-03-26 13:00:00,60.45,60.53,60.14,60.1901,409960.0
2021-03-26 12:45:00,60.35,60.46,60.17,60.4408,363202.0
2021-03-26 12:30:00,60.62,60.66,60.22,60.33,386161.0
2021-03-26 12:15:00,60.44,60.62,60.23,60.62,344560.0
2021-03-26 12:00:00,60.535,60.73,60.2701,60.44,346148.0
2021-03-26 11:45:00,60.305,60.55,60.18,60.52,447240.0
2021-03-26 11:30:00,60.355,60.5,60.12,60.29,403179.0
2021-03-26 11:15:00,60.56,60.675,60.22,60.36,450360.0
2021-03-26 11:00:00,61.13,61.17,60.52,60.545,336015.0
2021-03-26 10:45:00,61.5,61.6,61.05,61.15,353420.0
2021-03-26 10:30:00,61.32,61.5,61.01,61.49,390463.0
2021-03-26 10:15:00,61.32,61.87,61.2,61.29,334751.0
2021-03-26 10:00:00,60.89,61.73,60.84,61.2894,504827.0
2021-03-26 09:45:00,61.52,61.57,60.73,60.875,603760.0
2021-03-26 09:30:00,61.55,61.6,61.2,61.6,98022.0
2021-03-26 09:15:00,61.35,61.59,61.35,61.45,9261.0
2021-03-26 09:00:00,61.66,61.66,61.28,61.37,12436.0
2021-03-26 08:45:00,61.18,61.52,61.18,61.52,3956.0
2021-03-26 08:30:00,60.99,60.99,60.8501,60.86,4176.0
2021-03-26 08:15:00,61.6401,61.75,61.0,61.0,17775.0
2021-03-26 08:00:00,61.3,61.3,61.3,61.3,360.0
2021-03-26 07:45:00,61.3,61.3,61.27,61.27,882.0
2021-03-26 07:30:00,61.35,61.36,61.31,61.31,3339.0
2021-03-26 07:15:00,61.65,61.7,61.3,61.3,2676.0
2021-03-26 06:45:00,61.75,61.75,61.66,61.7,942.0
2021-03-26 06:30:00,61.94,61.94,61.94,61.94,100.0
2021-03-26 05:30:00,61.75,61.75,61.75,61.75,100.0
2021-03-25 20:00:00,61.44,61.6,61.44,61.6,2105.0
2021-03-25 19:45:00,61.58,61.59,61.58,61.59,470.0
2021-03-25 19:30:00,61.57,61.57,61.43,61.43,297.0
2021-03-25 19:15:00,61.4,61.4,61.4,61.4,777.0
2021-03-25 19:00:00,61.25,61.35,61.25,61.35,740.0
2021-03-25 18:45:00,61.2,61.4,61.2,61.4,200.0
2021-03-25 18:30:00,61.34,61.34,61.25,61.25,951.0
2021-03-25 18:15:00,61.35,61.35,61.26,61.26,324.0
2021-03-25 18:00:00,61.48,61.5,61.48,61.5,2191.0
2021-03-25 17:30:00,61.2,61.5,61.2,61.4,711.0
2021-03-25 17:15:00,61.5,61.5,61.5,61.5,100.0
2021-03-25 16:30:00,61.08,61.35,61.08,61.35,428.0
2021-03-25 16:15:00,61.16,61.35,61.16,61.35,62417.0
2021-03-25 16:00:00,61.39,61.44,61.05,61.21,1197348.0
2021-03-25 15:45:00,61.38,61.54,61.17,61.39,544902.0
2021-03-25 15:30:00,61.35,61.61,61.29,61.385,462040.0
2021-03-25 15:15:00,61.28,61.558,61.18,61.34,437794.0
2021-03-25 15:00:00,61.09,61.35,61.04,61.28,608408.0
2021-03-25 14:45:00,60.28,61.1724,60.2601,61.08,438599.0
2021-03-25 14:30:00,60.73,60.83,60.225,60.26,430826.0
2021-03-25 14:15:00,60.73,60.88,60.51,60.72,436477.0
2021-03-25 14:00:00,60.92,61.12,60.7,60.75,568537.0
2021-03-25 13:45:00,61.1,61.23,60.725,60.94,514659.0
2021-03-25 13:30:00,61.55,61.64,61.0,61.09,347094.0
2021-03-25 13:15:00,61.485,61.64,61.3,61.54,521037.0
2021-03-25 13:00:00,61.68,62.01,61.48,61.48,827810.0
2021-03-25 12:45:00,61.69,61.83,61.47,61.68,658227.0
2021-03-25 12:30:00,61.32,61.84,61.31,61.68,739204.0
2021-03-25 12:15:00,61.05,61.47,60.94,61.31,643420.0
2021-03-25 12:00:00,60.23,61.09,60.21,61.0699,505357.0
2021-03-25 11:45:00,60.3,60.7499,60.23,60.2468,543024.0
2021-03-25 11:30:00,60.11,60.34,59.87,60.31,503521.0
2021-03-25 11:15:00,59.96,60.32,59.72,60.12,795933.0
2021-03-25 11:00:00,60.55,60.64,59.66,59.965,1018701.0
2021-03-25 10:45:00,60.685,60.84,60.36,60.55,621163.0
2021-03-25 10:30:00,60.96,61.42,60.69,60.6999,851941.0
2021-03-25 10:15:00,60.75,61.3092,60.5006,61.0,760901.0
2021-03-25 10:00:00,60.97,61.23,60.28,60.75,1114634.0
2021-03-25 09:45:00,60.2,61.35,59.57,60.985,1942338.0
2021-03-25 09:30:00,60.2,60.75,60.03,60.05,46697.0
2021-03-25 09:15:00,60.39,60.55,60.3,60.3,36594.0
2021-03-25 09:00:00,60.49,60.5,60.2,60.395,19320.0
2021-03-25 08:45:00,60.71,60.9,60.5,60.5,15828.0
2021-03-25 08:30:00,60.79,60.85,60.72,60.72,14314.0
2021-03-25 08:15:00,62.25,62.45,60.25,60.76,63575.0
2021-03-25 08:00:00,61.56,61.56,61.03,61.03,13511.0
2021-03-25 07:45:00,61.94,61.94,61.6,61.6,4691.0
2021-03-25 07:30:00,62.16,62.16,61.97,61.97,1201.0
2021-03-25 07:15:00,62.26,62.26,62.1,62.15,3277.0
2021-03-25 05:30:00,62.5,62.5,62.5,62.5,423.0
2021-03-25 05:15:00,62.52,62.52,62.52,62.52,549.0
2021-03-25 05:00:00,62.54,62.54,62.47,62.47,646.0
2021-03-24 20:00:00,61.92,61.92,61.9,61.9,12119.0
2021-03-24 19:45:00,62.05,62.05,61.95,61.95,3406.0
2021-03-24 19:30:00,62.01,62.05,62.01,62.05,2912.0
2021-03-24 19:15:00,62.06,62.1,62.01,62.01,1729.0
2021-03-24 19:00:00,62.09,62.09,62.09,62.09,239.0
2021-03-24 18:45:00,62.15,62.15,62.09,62.09,700.0
2021-03-24 18:30:00,62.09,62.09,62.09,62.09,400.0
2021-03-24 18:00:00,62.06,62.06,62.06,62.06,106.0
2021-03-24 17:45:00,62.19,62.19,62.19,62.19,456.0
2021-03-24 17:30:00,62.03,62.2,62.03,62.2,1708.0
2021-03-24 17:15:00,62.14,62.15,62.14,62.15,5819.0
2021-03-24 17:00:00,62.14,62.15,62.03,62.03,1425.0
2021-03-24 16:45:00,62.1,62.1,62.1,62.1,1521.0
2021-03-24 16:30:00,62.06,64.27,62.03,62.03,47897.0
2021-03-24 16:15:00,62.1,62.1,62.02,62.06,375189.0
2021-03-24 16:00:00,62.44,62.61,62.05,62.07,1636496.0
2021-03-24 15:45:00,62.7,62.74,62.27,62.453,818511.0
