,close,datetime,high,low,open,volume
0,849.44,1610431200000.0,868.0,827.34,831.0,46270720.0
1,854.41,1610517600000.0,860.47,832.0,852.76,33312496.0
2,845.0,1610604000000.0,863.0,838.75,843.39,31266327.0
3,826.16,1610690400000.0,859.9,819.1,852.0,38777596.0
4,844.55,1611036000000.0,850.0,833.0,837.8,25366980.0
5,850.45,1611122400000.0,859.5,837.28,858.74,25665883.0
6,844.99,1611208800000.0,855.7199,841.4201,855.0,20598133.0
7,846.64,1611295200000.0,848.0,828.62,834.31,20066497.0
8,880.8,1611554400000.0,900.4,838.8201,855.0,41173397.0
9,883.09,1611640800000.0,895.9,871.6,891.38,23131603.0
10,864.16,1611727200000.0,891.5,858.66,870.35,27333955.0
11,835.43,1611813600000.0,848.0,801.0,820.0,26378048.0
12,793.53,1611900000000.0,842.41,780.1,830.0003,34990754.0
13,839.81,1612159200000.0,842.0,795.5601,814.29,25391385.0
14,872.79,1612245600000.0,880.5,842.2006,844.68,24346213.0
15,854.69,1612332000000.0,878.08,853.0646,877.02,18343510.0
16,849.99,1612418400000.0,856.5,833.42,855.0,15812661.0
17,852.23,1612504800000.0,864.77,838.97,845.0,18566637.0
18,863.42,1612764000000.0,877.77,854.75,869.67,20161719.0
19,849.46,1612850400000.0,859.8,841.75,855.12,15157651.0
20,804.82,1612936800000.0,844.82,800.02,843.635,36216090.0
21,811.66,1613023200000.0,829.8799,801.725,812.44,21622753.0
22,816.12,1613109600000.0,817.33,785.3306,801.26,23768313.0
23,796.22,1613455200000.0,821.0,792.44,818.0,19802324.0
24,798.15,1613541600000.0,799.84,762.01,779.09,26078898.0
25,787.38,1613628000000.0,794.69,776.27,780.9,17957058.0
26,781.3,1613714400000.0,796.7899,777.37,795.0,18958255.0
27,714.5,1613973600000.0,768.5,710.2,762.64,37269716.0
28,698.84,1614060000000.0,713.6099,619.0,662.13,66606882.0
29,742.02,1614146400000.0,745.0,694.17,711.85,36766950.0
30,682.22,1614232800000.0,737.2066,670.58,726.15,39023855.0
31,675.5,1614319200000.0,706.7,659.51,700.0,41089173.0
32,718.43,1614578400000.0,872.0,685.05,690.11,27136239.0
33,686.44,1614664800000.0,721.11,685.0,718.28,23732158.0
34,653.2,1614751200000.0,700.7,651.705,687.99,30207960.0
35,621.44,1614837600000.0,873.94,600.0,655.8,65919530.0
36,597.95,1614924000000.0,627.8419,539.49,626.06,89396459.0
37,563.0,1615183200000.0,620.125,558.79,600.55,51786958.0
38,673.58,1615269600000.0,678.09,595.21,608.18,67523328.0
39,668.06,1615356000000.0,717.85,655.06,700.3,60605672.0
40,699.6,1615442400000.0,702.5,677.18,699.4,36253892.0
41,693.73,1615528800000.0,694.88,666.1394,670.0,33583840.0
42,707.94,1615784400000.0,713.18,684.04,694.09,29423479.0
43,676.88,1615870800000.0,707.92,671.0,703.35,32195672.0
44,701.81,1615957200000.0,703.73,651.01,656.87,40372453.0
45,653.16,1616043600000.0,689.23,652.0,684.29,33369022.0
46,654.87,1616130000000.0,657.23,624.6201,646.6,42893978.0
47,670.0,1616389200000.0,699.62,668.75,684.59,39512221.0
48,662.16,1616475600000.0,677.8,657.51,675.77,30491870.0
49,630.27,1616562000000.0,668.02,630.11,667.91,33795174.0
50,640.39,1616648400000.0,645.5,609.5,613.0,39224850.0
51,618.71,1616734800000.0,643.82,599.89,641.87,33852827.0
52,611.29,1616994000000.0,616.48,596.02,615.64,28636985.0
53,635.62,1617080400000.0,637.66,591.01,601.75,39432359.0
54,667.93,1617166800000.0,672.0,641.11,646.62,33337288.0
55,661.75,1617253200000.0,692.4203,659.42,688.37,35298378.0
56,691.05,1617598800000.0,708.16,684.7,707.71,41842767.0
57,691.62,1617685200000.0,696.55,681.37,690.3,28271839.0
58,670.97,1617771600000.0,691.38,667.84,687.0,26309433.0
59,683.8,1617858000000.0,689.5499,671.645,677.38,23924329.0
60,677.02,1617944400000.0,680.97,669.43,677.77,21437087.0
61,701.98,1618203600000.0,704.8,682.09,685.7,29135670.0
